Size_MB,Lifetime
882,1297
4704,2
0.0390625,3
882,1
4704,1292
4704,4
0.00390625,2
0.00390625,1
0.00390625,1
4704,1293
0.00390625,1293
0.00390625,1
0.00390625,1
4704,1
0.00390625,1
4704,2
1176,1285
4704,2
1176,2
0.015625,3
1176,4
1176,1278
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1281
0.00390625,1281
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
0.140625,3
1176,3
1176,1271
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1274
0.00390625,1274
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
4704,2
0.0625,3
1176,3
4704,1266
4704,4
0.00390625,2
0.00390625,1
0.00390625,1
4704,1267
0.00390625,1267
0.00390625,1
0.00390625,1
4704,1
0.00390625,1
4704,2
4704,2
0.0625,3
1176,19
4704,2
4704,4
0.00390625,2
0.00390625,1
0.00390625,1
4704,1258
0.00390625,1258
0.00390625,1
0.00390625,1
4704,1
0.00390625,1
4704,1253
1176,2
0.0625,3
4704,9
1176,1246
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1249
0.00390625,1249
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
0.140625,3
1176,3
1176,1239
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1242
0.00390625,1242
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
4704,2
0.0625,3
1176,3
4704,1234
4704,4
0.00390625,2
0.00390625,1
0.00390625,1
4704,1235
0.00390625,1235
0.00390625,1
0.00390625,1
4704,1
0.00390625,1
4704,2
4704,1228
1176,2
0.0625,3
4704,20
1176,1221
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1224
0.00390625,1224
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
0.140625,3
1176,3
1176,1214
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1217
0.00390625,1217
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
4704,2
