Tensor_id,ActiveTime,InactiveTime
0,1297,2
1,2,1297
3,3,1296
4,1,1298
5,1292,7
6,4,1295
8,2,1297
9,1,1298
10,1,1298
11,1293,6
12,1293,6
13,1,1298
14,1,1298
15,1,1298
16,1,1298
19,2,1297
20,1285,14
21,2,1297
22,2,1297
24,3,1296
25,4,1295
26,1278,21
27,4,1295
29,2,1297
30,1,1298
31,1,1298
32,1281,18
33,1281,18
34,1,1298
35,1,1298
36,1,1298
37,1,1298
40,2,1297
42,3,1296
43,3,1296
44,1271,28
45,4,1295
47,2,1297
48,1,1298
49,1,1298
50,1274,25
51,1274,25
52,1,1298
53,1,1298
54,1,1298
55,1,1298
58,2,1297
60,3,1296
61,3,1296
62,1266,33
63,4,1295
65,2,1297
66,1,1298
67,1,1298
68,1267,32
69,1267,32
70,1,1298
71,1,1298
72,1,1298
73,1,1298
76,2,1297
77,2,1297
79,3,1296
80,19,1280
81,2,1297
82,4,1295
84,2,1297
85,1,1298
86,1,1298
87,1258,41
88,1258,41
89,1,1298
90,1,1298
91,1,1298
92,1,1298
95,1253,46
96,2,1297
98,3,1296
99,9,1290
100,1246,53
101,4,1295
103,2,1297
104,1,1298
105,1,1298
106,1249,50
107,1249,50
108,1,1298
109,1,1298
110,1,1298
111,1,1298
114,2,1297
116,3,1296
117,3,1296
118,1239,60
119,4,1295
121,2,1297
122,1,1298
123,1,1298
124,1242,57
125,1242,57
126,1,1298
127,1,1298
128,1,1298
129,1,1298
132,2,1297
134,3,1296
135,3,1296
136,1234,65
137,4,1295
139,2,1297
140,1,1298
141,1,1298
142,1235,64
143,1235,64
144,1,1298
145,1,1298
146,1,1298
147,1,1298
150,2,1297
151,1228,71
152,2,1297
154,3,1296
155,20,1279
156,1221,78
157,4,1295
159,2,1297
160,1,1298
161,1,1298
162,1224,75
163,1224,75
164,1,1298
165,1,1298
166,1,1298
167,1,1298
170,2,1297
172,3,1296
173,3,1296
174,1214,85
175,4,1295
177,2,1297
178,1,1298
179,1,1298
180,1217,82
181,1217,82
182,1,1298
183,1,1298
184,1,1298
185,1,1298
188,2,1297
190,3,1296
191,3,1296
192,1209,90
193,4,1295
195,2,1297
196,1,1298
197,1,1298
198,1210,89
199,1210,89
200,1,1298
201,1,1298
202,1,1298
203,1,1298
206,2,1297
207,1203,96
208,2,1297
210,3,1296
211,20,1279
212,1196,103
213,4,1295
215,2,1297
216,1,1298
217,1,1298
218,1199,100
219,1199,100
220,1,1298
221,1,1298
222,1,1298
223,1,1298
226,2,1297
228,3,1296
229,3,1296
230,1189,110
231,4,1295
233,2,1297
234,1,1298
235,1,1298
236,1192,107
237,1192,107
238,1,1298
239,1,1298
240,1,1298
241,1,1298
244,2,1297
246,3,1296
247,3,1296
248,1184,115
249,4,1295
251,2,1297
252,1,1298
253,1,1298
254,1185,114
255,1185,114
256,1,1298
257,1,1298
258,1,1298
259,1,1298
262,2,1297
263,2,1297
265,3,1296
266,19,1280
267,2,1297
268,4,1295
270,2,1297
271,1,1298
272,1,1298
273,1176,123
274,1176,123
275,1,1298
276,1,1298
277,1,1298
278,1,1298
281,1171,128
282,2,1297
284,3,1296
285,9,1290
286,1164,135
287,4,1295
289,2,1297
290,1,1298
291,1,1298
292,1167,132
293,1167,132
294,1,1298
295,1,1298
296,1,1298
297,1,1298
300,2,1297
302,3,1296
303,3,1296
304,1157,142
305,4,1295
307,2,1297
308,1,1298
309,1,1298
310,1160,139
311,1160,139
312,1,1298
313,1,1298
314,1,1298
315,1,1298
318,2,1297
320,3,1296
321,3,1296
322,1152,147
323,4,1295
325,2,1297
326,1,1298
327,1,1298
328,1153,146
329,1153,146
330,1,1298
331,1,1298
332,1,1298
333,1,1298
336,2,1297
337,1146,153
338,2,1297
340,3,1296
341,20,1279
342,1139,160
343,4,1295
345,2,1297
346,1,1298
347,1,1298
348,1142,157
349,1142,157
350,1,1298
351,1,1298
352,1,1298
353,1,1298
356,2,1297
358,3,1296
359,3,1296
360,1132,167
361,4,1295
363,2,1297
364,1,1298
365,1,1298
366,1135,164
367,1135,164
368,1,1298
369,1,1298
370,1,1298
371,1,1298
374,2,1297
376,3,1296
377,3,1296
378,1127,172
379,4,1295
381,2,1297
382,1,1298
383,1,1298
384,1128,171
385,1128,171
386,1,1298
387,1,1298
388,1,1298
389,1,1298
392,2,1297
393,1121,178
394,2,1297
396,3,1296
397,20,1279
398,1114,185
399,4,1295
401,2,1297
402,1,1298
403,1,1298
404,1117,182
405,1117,182
406,1,1298
407,1,1298
408,1,1298
409,1,1298
412,2,1297
414,3,1296
415,3,1296
416,1107,192
417,4,1295
419,2,1297
420,1,1298
421,1,1298
422,1110,189
423,1110,189
424,1,1298
425,1,1298
426,1,1298
427,1,1298
430,2,1297
432,3,1296
433,3,1296
434,1102,197
435,4,1295
437,2,1297
438,1,1298
439,1,1298
440,1103,196
441,1103,196
442,1,1298
443,1,1298
444,1,1298
445,1,1298
448,2,1297
449,1096,203
450,2,1297
452,3,1296
453,20,1279
454,1089,210
455,4,1295
457,2,1297
458,1,1298
459,1,1298
460,1092,207
461,1092,207
462,1,1298
463,1,1298
464,1,1298
465,1,1298
468,2,1297
470,3,1296
471,3,1296
472,1082,217
473,4,1295
475,2,1297
476,1,1298
477,1,1298
478,1085,214
479,1085,214
480,1,1298
481,1,1298
482,1,1298
483,1,1298
486,2,1297
488,3,1296
489,3,1296
490,1077,222
491,4,1295
493,2,1297
494,1,1298
495,1,1298
496,1078,221
497,1078,221
498,1,1298
499,1,1298
500,1,1298
501,1,1298
504,2,1297
505,1071,228
506,2,1297
508,3,1296
509,20,1279
510,1064,235
511,4,1295
513,2,1297
514,1,1298
515,1,1298
516,1067,232
517,1067,232
518,1,1298
519,1,1298
520,1,1298
521,1,1298
524,2,1297
526,3,1296
527,3,1296
528,1057,242
529,4,1295
531,2,1297
532,1,1298
533,1,1298
534,1060,239
535,1060,239
536,1,1298
537,1,1298
538,1,1298
539,1,1298
542,2,1297
544,3,1296
545,3,1296
546,1052,247
547,4,1295
549,2,1297
550,1,1298
551,1,1298
552,1053,246
553,1053,246
554,1,1298
555,1,1298
556,1,1298
557,1,1298
560,2,1297
561,1046,253
562,2,1297
564,3,1296
565,20,1279
566,1039,260
567,4,1295
569,2,1297
570,1,1298
571,1,1298
572,1042,257
573,1042,257
574,1,1298
575,1,1298
576,1,1298
577,1,1298
580,2,1297
582,3,1296
583,3,1296
584,1032,267
585,4,1295
587,2,1297
588,1,1298
589,1,1298
590,1035,264
591,1035,264
592,1,1298
593,1,1298
594,1,1298
595,1,1298
598,2,1297
600,3,1296
601,3,1296
602,1027,272
603,4,1295
605,2,1297
606,1,1298
607,1,1298
608,1028,271
609,1028,271
610,1,1298
611,1,1298
612,1,1298
613,1,1298
616,2,1297
617,1021,278
618,2,1297
620,3,1296
621,20,1279
622,1014,285
623,4,1295
625,2,1297
626,1,1298
627,1,1298
628,1017,282
629,1017,282
630,1,1298
631,1,1298
632,1,1298
633,1,1298
636,2,1297
638,3,1296
639,3,1296
640,1007,292
641,4,1295
643,2,1297
644,1,1298
645,1,1298
646,1010,289
647,1010,289
648,1,1298
649,1,1298
650,1,1298
651,1,1298
654,2,1297
656,3,1296
657,3,1296
658,1002,297
659,4,1295
661,2,1297
662,1,1298
663,1,1298
664,1003,296
665,1003,296
666,1,1298
667,1,1298
668,1,1298
669,1,1298
672,2,1297
673,996,303
674,2,1297
676,3,1296
677,20,1279
678,989,310
679,4,1295
681,2,1297
682,1,1298
683,1,1298
684,992,307
685,992,307
686,1,1298
687,1,1298
688,1,1298
689,1,1298
692,2,1297
694,3,1296
695,3,1296
696,982,317
697,4,1295
699,2,1297
700,1,1298
701,1,1298
702,985,314
703,985,314
704,1,1298
705,1,1298
706,1,1298
707,1,1298
710,2,1297
712,3,1296
713,3,1296
714,977,322
715,4,1295
717,2,1297
718,1,1298
719,1,1298
720,978,321
721,978,321
722,1,1298
723,1,1298
724,1,1298
725,1,1298
728,2,1297
729,2,1297
731,3,1296
732,19,1280
733,2,1297
734,4,1295
736,2,1297
737,1,1298
738,1,1298
739,969,330
740,969,330
741,1,1298
742,1,1298
743,1,1298
744,1,1298
747,964,335
748,2,1297
750,3,1296
751,9,1290
752,957,342
753,4,1295
755,2,1297
756,1,1298
757,1,1298
758,960,339
759,960,339
760,1,1298
761,1,1298
762,1,1298
763,1,1298
766,2,1297
768,3,1296
769,3,1296
770,950,349
771,4,1295
773,2,1297
774,1,1298
775,1,1298
776,953,346
777,953,346
778,1,1298
779,1,1298
780,1,1298
781,1,1298
784,2,1297
786,3,1296
787,3,1296
788,945,354
789,4,1295
791,2,1297
792,1,1298
793,1,1298
794,946,353
795,946,353
796,1,1298
797,1,1298
798,1,1298
799,1,1298
802,2,1297
803,939,360
804,2,1297
806,3,1296
807,20,1279
808,932,367
809,4,1295
811,2,1297
812,1,1298
813,1,1298
814,935,364
815,935,364
816,1,1298
817,1,1298
818,1,1298
819,1,1298
822,2,1297
824,3,1296
825,3,1296
826,925,374
827,4,1295
829,2,1297
830,1,1298
831,1,1298
832,928,371
833,928,371
834,1,1298
835,1,1298
836,1,1298
837,1,1298
840,2,1297
842,3,1296
843,3,1296
844,920,379
845,4,1295
847,2,1297
848,1,1298
849,1,1298
850,921,378
851,921,378
852,1,1298
853,1,1298
854,1,1298
855,1,1298
858,2,1297
859,914,385
860,2,1297
862,3,1296
863,20,1279
864,907,392
865,4,1295
867,2,1297
868,1,1298
869,1,1298
870,910,389
871,910,389
872,1,1298
873,1,1298
874,1,1298
875,1,1298
878,2,1297
880,3,1296
881,3,1296
882,900,399
883,4,1295
885,2,1297
886,1,1298
887,1,1298
888,903,396
889,903,396
890,1,1298
891,1,1298
892,1,1298
893,1,1298
896,2,1297
898,3,1296
