Tensor_id,ActiveTime,InactiveTime
0,4,1365
2,1368,1
3,2,1367
4,2,1367
6,1365,4
7,2,1367
8,2,1367
10,3,1366
11,2,1367
12,1358,11
13,2,1367
14,6,1363
15,2,1367
16,3,1366
17,2,1367
18,1355,14
19,2,1367
20,1351,18
21,4,1365
22,2,1367
23,1349,20
25,3,1366
26,2,1367
27,2,1367
28,2,1367
29,1346,23
30,2,1367
31,1342,27
33,2,1367
34,3,1366
35,1340,29
36,2,1367
37,1339,30
38,9,1360
39,2,1367
40,2,1367
42,5,1364
43,2,1367
44,1327,42
46,4,1365
47,2,1367
48,2,1367
50,4,1365
51,3,1366
52,1315,54
54,4,1365
55,2,1367
56,1317,52
58,1,1368
59,2,1367
60,422,947
62,4,1365
63,2,1367
64,2,1367
65,10,1359
66,8,1361
67,1308,61
69,5,1364
70,2,1367
71,1304,65
72,3,1366
73,9,1360
74,1302,67
75,2,1367
76,1297,72
77,3,1366
78,15,1354
79,2,1367
81,3,1366
82,4,1365
83,2,1367
85,4,1365
86,2,1367
87,1289,80
88,2,1367
89,28,1341
90,2,1367
91,3,1366
92,2,1367
93,1286,83
94,2,1367
95,1282,87
96,4,1365
97,2,1367
98,1280,89
99,3,1366
100,2,1367
101,2,1367
102,2,1367
103,1277,92
104,2,1367
105,1273,96
106,2,1367
107,3,1366
108,1271,98
109,2,1367
110,1270,99
111,9,1360
112,2,1367
113,2,1367
115,5,1364
116,2,1367
117,1258,111
119,4,1365
120,2,1367
121,2,1367
123,4,1365
124,3,1366
125,1253,116
127,4,1365
128,2,1367
129,1249,120
130,2,1367
131,2,1367
133,3,1366
134,3,1366
135,2,1367
137,4,1365
138,2,1367
139,1241,128
140,2,1367
141,13,1356
142,2,1367
143,3,1366
144,2,1367
145,1238,131
146,2,1367
147,1234,135
148,4,1365
149,2,1367
150,1232,137
151,3,1366
152,2,1367
153,2,1367
154,2,1367
155,1229,140
156,2,1367
157,1225,144
158,2,1367
159,3,1366
160,1223,146
161,2,1367
162,1222,147
163,9,1360
164,2,1367
165,2,1367
167,5,1364
168,2,1367
169,1210,159
171,4,1365
172,2,1367
173,2,1367
175,4,1365
176,3,1366
177,1204,165
179,4,1365
180,2,1367
181,2,1367
182,4,1365
183,2,1367
184,1199,170
185,5,1364
186,2,1367
187,1195,174
188,3,1366
189,78,1291
190,1193,176
191,2,1367
192,1188,181
193,3,1366
194,9,1360
195,2,1367
197,3,1366
198,4,1365
199,2,1367
201,4,1365
202,2,1367
203,1180,189
204,2,1367
205,22,1347
206,2,1367
207,3,1366
208,2,1367
209,1177,192
210,2,1367
211,1173,196
212,4,1365
213,2,1367
214,1171,198
215,3,1366
216,2,1367
217,2,1367
218,2,1367
219,1168,201
220,2,1367
221,1164,205
222,2,1367
223,3,1366
224,1162,207
225,2,1367
226,1161,208
227,9,1360
228,2,1367
229,2,1367
231,5,1364
232,2,1367
233,1149,220
235,4,1365
236,2,1367
237,2,1367
239,4,1365
240,3,1366
241,1144,225
243,4,1365
244,2,1367
245,1140,229
246,2,1367
247,2,1367
