Size_MB,Lifetime
144,4
0.1875,1368
0.0078125,2
144,2
0.1875,1365
89.4219,2
144,2
144,3
144,2
144,1358
144,2
144,6
0.1875,2
144,3
144,2
0.1875,1355
0.1875,2
144,1351
144,4
144,2
144,1349
144,3
0.1875,2
144,2
0.1875,2
0.1875,1346
0.1875,2
0.1875,1342
0.1875,2
0.1875,3
144,1340
0.1875,2
144,1339
144,9
144,2
144,2
144,5
144,2
144,1327
144,4
144,2
432,2
144,4
6.75,3
144,1315
432,4
432,2
0.1875,1317
0.1875,1
0.1875,2
288,422
0.1875,4
0.1875,2
288,2
144,10
144,8
288,1308
288,5
288,2
288,1304
288,3
288,9
288,1302
288,2
2.25,1297
288,3
144,15
144,2
144,3
2.25,4
144,2
144,4
144,2
144,1289
144,2
144,28
0.1875,2
144,3
144,2
0.1875,1286
0.1875,2
144,1282
144,4
144,2
144,1280
144,3
0.1875,2
144,2
0.1875,2
0.1875,1277
0.1875,2
0.1875,1273
0.1875,2
0.1875,3
144,1271
0.1875,2
144,1270
144,9
144,2
144,2
144,5
144,2
144,1258
144,4
144,2
576,2
144,4
9,3
576,1253
576,4
576,2
576,1249
576,2
144,2
576,3
9,3
144,2
144,4
144,2
144,1241
144,2
144,13
0.1875,2
144,3
144,2
0.1875,1238
0.1875,2
144,1234
144,4
144,2
144,1232
144,3
0.1875,2
144,2
0.1875,2
0.1875,1229
0.1875,2
0.1875,1225
0.1875,2
0.1875,3
144,1223
0.1875,2
144,1222
144,9
144,2
144,2
144,5
144,2
144,1210
144,4
144,2
432,2
144,4
6.75,3
144,1204
432,4
432,2
288,2
144,4
144,2
288,1199
288,5
288,2
288,1195
288,3
288,78
288,1193
288,2
2.25,1188
288,3
144,9
144,2
144,3
2.25,4
144,2
144,4
144,2
144,1180
144,2
144,22
0.1875,2
144,3
144,2
0.1875,1177
0.1875,2
144,1173
144,4
144,2
144,1171
144,3
0.1875,2
144,2
0.1875,2
0.1875,1168
0.1875,2
0.1875,1164
0.1875,2
0.1875,3
144,1162
0.1875,2
144,1161
144,9
144,2
144,2
144,5
144,2
144,1149
144,4
144,2
576,2
144,4
9,3
576,1144
576,4
576,2
576,1140
576,2
144,2
576,3
9,3
144,2
144,4
144,2
144,1132
144,2
144,13
0.1875,2
144,3
144,2
0.1875,1129
0.1875,2
144,1125
144,4
144,2
144,1123
144,3
0.1875,2
144,2
0.1875,2
0.1875,1120
0.1875,2
0.1875,1116
0.1875,2
0.1875,3
144,1114
0.1875,2
144,1113
144,9
144,2
144,2
144,5
144,2
144,1101
144,4
144,2
432,2
144,4
6.75,3
144,1095
432,4
432,2
288,2
144,4
144,2
288,1090
288,5
288,2
288,1086
288,3
288,149
288,1084
288,2
2.25,1079
288,3
144,9
144,2
144,3
2.25,4
144,2
144,4
144,2
144,1071
144,2
144,22
0.1875,2
144,3
144,2
0.1875,1068
0.1875,2
144,1064
144,4
144,2
144,1062
144,3
0.1875,2
144,2
0.1875,2
0.1875,1059
0.1875,2
