Size_MB,Lifetime
192,4
0.25,1368
0.0078125,2
192,2
0.25,1365
89.4219,2
192,2
192,3
192,2
192,1358
192,2
192,6
0.25,2
192,3
192,2
0.25,1355
0.25,2
192,1351
192,4
192,2
192,1349
192,3
0.25,2
192,2
0.25,2
0.25,1346
0.25,2
0.25,1342
0.25,2
0.25,3
192,1340
0.25,2
192,1339
192,9
192,2
192,2
192,5
192,2
192,1327
192,4
192,2
576,2
192,4
6.75,3
192,1315
576,4
576,2
0.25,1317
0.25,1
0.25,2
384,422
0.25,4
0.25,2
384,2
192,10
192,8
384,1308
384,5
384,2
384,1304
384,3
384,9
384,1302
384,2
2.25,1297
384,3
192,15
192,2
192,3
2.25,4
192,2
192,4
192,2
192,1289
192,2
192,28
0.25,2
192,3
192,2
0.25,1286
0.25,2
192,1282
192,4
192,2
192,1280
192,3
0.25,2
192,2
0.25,2
0.25,1277
0.25,2
0.25,1273
0.25,2
0.25,3
192,1271
0.25,2
192,1270
192,9
192,2
192,2
192,5
192,2
192,1258
192,4
192,2
768,2
192,4
9,3
768,1253
768,4
768,2
768,1249
768,2
192,2
768,3
9,3
192,2
192,4
192,2
192,1241
192,2
192,13
0.25,2
192,3
192,2
0.25,1238
0.25,2
192,1234
192,4
192,2
192,1232
192,3
0.25,2
192,2
0.25,2
0.25,1229
0.25,2
0.25,1225
0.25,2
0.25,3
192,1223
0.25,2
192,1222
192,9
192,2
192,2
192,5
192,2
192,1210
192,4
192,2
576,2
192,4
6.75,3
192,1204
576,4
576,2
384,2
192,4
192,2
384,1199
384,5
384,2
384,1195
384,3
384,78
384,1193
384,2
2.25,1188
384,3
192,9
192,2
192,3
2.25,4
192,2
192,4
192,2
192,1180
192,2
192,22
0.25,2
192,3
192,2
0.25,1177
0.25,2
192,1173
192,4
192,2
192,1171
192,3
0.25,2
192,2
0.25,2
0.25,1168
0.25,2
0.25,1164
0.25,2
0.25,3
192,1162
0.25,2
192,1161
192,9
192,2
192,2
192,5
192,2
192,1149
192,4
192,2
768,2
192,4
9,3
768,1144
768,4
768,2
768,1140
768,2
192,2
768,3
9,3
192,2
192,4
192,2
192,1132
192,2
192,13
0.25,2
192,3
192,2
0.25,1129
0.25,2
192,1125
192,4
192,2
192,1123
192,3
0.25,2
192,2
